,qid,query
1199,2423,"Arctic sea ice thinning, sea ice extent increasing"
1200,2424,Arctic sea ice in 2008 and 2009
1201,2426,Global warming started in 1910
1202,2427,By that time CO2 emissions
1203,2428,Rapid rise in global CO2 emissions since 1945
1204,2429,"with rapidly increasing global temperatures and minor co2 increase, then slowing temperatures with rapid co2 rise, IPCC's co2 claim was deceitful"
1205,2430,"Even during long-term warming, short periods of cooling"
1206,2431,Cooling due to La Nina and solar minimum
1207,2432,Sun's warming stopped since 1970
1208,2434,IPCC blames human CO2 emissions for warming
1209,2438,Greenhouse gases warming since 1970
1210,2441,planet not simply recovering from Little Ice Age
1211,2444,"Forcings affecting climate, including stratospheric aerosols and solar variations"
1212,2445,Combined forcings correlate with global temperature
1213,2447,Global dimming due to anthropogenic sulfate aerosol emissions
1214,2449,January 2008 marked a 12-month period of global temperature drop.
1215,2453,"CO2 levels in Ordovician, Silurian, Jurassic, Cretaceous periods"
1216,2455,"CO2 levels higher, solar levels lower"
1217,2457,rise in temperature 1900-1940
1218,2460,six decades of abnormal warmth
1219,2461,Early 20th century warming
1220,2463,"Volcanic activity has been frequent, exerting a cooling effect"
1221,2464,early 20th century warming human influence
1222,2468,No significant global warming since 1979 despite rising CO2 emissions
1223,2474,Warming trends agree with surface temperatures and model predictions
1224,2476,Global dimming reversed around 1990
1225,2478,Kerr 2007 notes thinning of sunlight reflecting haze
1226,2482,global temperatures balanced
1227,2483,Britain's cold spell starts global cooling trend challenging climate change
1228,2484,Global temperature dip
1229,2485,anthropogenic greenhouse gases
1230,2486,minute increase of anthropogenic CO2 in atmosphere
1231,2487,El Nino Southern Oscillation and global temperatures
1232,2488,long term warming trend over past few decades
1233,2489,Australasian researchers show natural forces dominate climate
1234,2493,Mount Kilimanjaro's shrinking glacier
1235,2494,Earth's average temperature increasing
1236,2495,Gore claims Kilimanjaro's snowcap is shrinking due to global warming
1237,2497,Without humidity
1238,2499,Earth warmed since 1850
1239,2500,Believers think human-induced warming vs. skeptics believe natural causes with minor human impact
1240,2501,human fingerprint on global warming
1241,2502,Anthropogenic climate change predictions
1242,2506,IPCC confirms computer modeling predicts tropical mid-troposphere hot spot
1243,2508,PDO temperature pattern Pacific Ocean
1244,2509,PDO warm phase
1245,2510,pdo cool phase
1246,2511,PDO warm phase 1977
1247,2515,pdo last switched to cool phase
1248,2516,Earth's climate system energy imbalance
1249,2520,According to the second law of thermodynamics
1250,2521,atmosphere unable to absorb shortwave radiation from sun
1251,2522,thermal radiation escaping to space from cold upper atmosphere
1252,2523,this is the atmospheric greenhouse effect
1253,2530,Glaciers in rapid retreat worldwide despite IPCC report error
1254,2531,Glaciers in Central and Eastern Himalayas may disappear by 2035
1255,2536,IPCC AR4 confirmed by peer-reviewed literature
1256,2538,Himalayan glaciers disappearing at an accelerating rate
1257,2539,influence of greenhouse gases on near surface temperature
1258,2540,no proof of greenhouse effect's connection to global warming
1259,2542,"Greenhouse gases, especially CO2, contradict physical laws."
1260,2547,the modelers confused cause and effect
1261,2549,climate change settled
1262,2552,"geologic record shows abundant evidence of natural climate variability, including icecaps near equator and none at poles"
1263,2553,climate debate 16w/m²
1264,2555,areas of science understood with varying degrees of certainty
1265,2556,Aerosol vs CO2 warming effect
1266,2557,Well understood aspects of climate change
1267,2560,Sea level rise since last ice age
1268,2561,observed sea levels tracking upper range IPCC projections
1269,2562,accelerating ice loss from Greenland and Antarctica in sea level projections by 2100
1270,2564,warming due to ocean salinity variations
1271,2565,Recent temperature changes
1272,2568,IPCC made false Amazon rainforest predictions based on non-peer-reviewed WWF paper
1273,2570,IPCC statement on Amazon rainforests
1274,2571,"error in citation, missing peer-reviewed papers"
1275,2574,coral reefs declining
1276,2575,"Coral destruction in Caribbean, Indonesia, Pacific over 30-40 years"
1277,2577,Recent articles question coral reef trouble due to greenhouse gases
1278,2579,CO2 increase over 250 years
1279,2580,Volcanoes emit around 200 million tonnes of CO2 per year
1280,2583,CO2's warming impact
1281,2584,CO2 saturation
1282,2587,CO2 effect
1283,2588,Enhanced greenhouse effect at CO2 wavelengths
1284,2590,Angstrom's 1901 work
1285,2591,Reduced query: planetary energy balance determined by upper troposphere levels
1286,2592,"A July 6, 2007 Science study on Greenland's ice shield survival during Earth's last global warming."
1287,2593,Greenland's ice may be less susceptible to massive meltdown.
1288,2599,Small amounts of active substances can cause large effects
1289,2600,Co2 levels are grossly overestimated
1290,2602,Public awareness of man-made CO2's small impact could reduce climate disaster beliefs.
1291,2603,While methane potent greenhouse gas CO2
1292,2605,"United Nations report identifies cattle as greatest threat to climate, forests, and wildlife"
1293,2606,Livestock's contribution to greenhouse gases causing global warming.
1294,2607,"Burning fuel to produce fertiliser, grow feed, transport it, and clearing vegetation for grazing produces 9% of CO2 emissions."
1295,2608,emissions from livestock warm the world
1296,2609,carbon dioxide lifetime
1297,2611,remaining CO2 in atmosphere for centuries
1298,2612,CO2 in atmosphere remains short time
1299,2613,CO2 levels rising globally
1300,2614,Keeling Curve
1301,2616,humidity is decreasing despite multiple studies showing it's increasing
1302,2618,how to have both short-term positive and long-term negative feedback?
1303,2620,largest positive feedback in UN arsenal
1304,2623,CO2 in upper troposphere makes a difference to temperature.
1305,2627,Neptune's orbit spans less than a third of a Neptunian year.
1306,2630,New storm and red spot on Jupiter hint at climate change
1307,2631,Temperatures changing up to 10°F globally
1308,2632,near the equator and global warming
1309,2633,Jupiter's climate change due to internal heat source
1310,2641,In a paper...
1311,2643,Decline in northern tree rings
1312,2649,Mike's nature trick refers to Mann's technique
1313,2650,decline in tree ring growth
1314,2656,Divergence of tree ring proxies from temperatures after 1960
1315,2657,Carbon dioxide emissions
1316,2661,Highest CO2 levels in 15 million years
1317,2662,Carbon dioxide levels like 160 years ago
1318,2664,Warming and extreme precipitation events
1319,2666,record snowfall in a warming world
1320,2668,it will likely continue to snow in chicago
1321,2671,claims name changed from global warming to climate change
1322,2673,"Climate change not working, ""global warming"" too cold"
1323,2678,Rising CO2 from fossil fuel burning
1324,2679,solubility of carbon dioxide in water declines with temperature
1325,2682,IPCC's predicted warming path vs observed 21st century warming
1326,2687,"planets in our solar system, including Pluto, heating up"
1327,2688,Pluto's climate change over last 14 years
1328,2689,Pluto's orbit takes 250 Earth years
1329,2691,Radiative forcings affecting planet's energy imbalance
1330,2692,"Volcanic eruptions, solar variability, cloud cover, and methane/aerosol effects on Earth's energy balance."
1331,2693,drivers of climate CO2 dominant radiative forcing
1332,2694,Independent Climate Change Email Review
1333,2698,Cru's actions normal
1334,2702,"While individual countries' CO2 emissions reductions may be insufficient,"
1335,2704,Australia's carbon emissions
1336,2706,Monckton's cherry-picked temperature data
1337,2707,Arctic temperatures warmer today than in 1940
1338,2709,True cost of fossil fuels
1339,2710,is wind energy more expensive than alternatives
1340,2711,Antarctic sea ice records in October 2007
1341,2712,Antarctic sea ice expansion
1342,2720,"Sea level increase in Western Pacific, offset by decrease near Alaskan coast"
1343,2721,Sea level acceleration in US tide gauges
1344,2726,emitting 26 gigatonnes of CO2
1345,2729,Most stations fail to meet NWS siting requirements
1346,2733,positive feedback and high climate sensitivity
1347,2735,observed outgoing radiation fluxes increase with SSTs
1348,2736,observed behavior of radiation fluxes and negative feedback processes
1349,2738,Phil Jones says warming trend
1350,2741,Phil Jones said no statistically significant warming
1351,2743,Cloudcover change in the tropics
1352,2744,stations showing more warming
1353,2745,"American researchers claim US gov't scientists manipulate global temp trends by excluding data from thousands of local weather stations, especially in Canada."
1354,2746,Dropped weather stations warmer trend
1355,2750,CO2 emissions doubling by 2100
1356,2751,Reduced query: Technology insufficient for significant emissions reductions
1357,2753,reduce greenhouse gas emissions
1358,2754,Urgent priorities needing Congress' attention
1359,2755,Global warming
1360,2762,One more decade of business as usual
1361,2763,long term trend from albedo cooling
1362,2765,Earth's albedo rise
1363,2766,Albedo forcings in Watts/sq meter
1364,2768,long term albedo trend cooling
1365,2773,Tree ring proxy reconstructions before 1960
1366,2774,Actual reconstructions diverge from instrumental series late 20th century
1367,2775,"Hockey stick ending 1980, last 30-40 years data points downward"
1368,2779,"Europe and Asia emit most soot from burning coal, wood, dung, diesel in open fires or without filters."
1369,2780,United States restricts soot emissions since 1963
1370,2782,NASA's satellite data shows Earth's atmosphere releasing more heat into space than predicted.
1371,2783,"far less future global warming than predicted, with increased carbon dioxide trapping less heat"
1372,2784,Dessler's 2011 study on Spencer's paper
1373,2787,Hansen's 1988 results show climate sensitivity at 3°C per CO2 doubling.
1374,2788,"James Hansen's testimony on June 23, 1988"
1375,2789,Hansen's climate model video
1376,2790,model predicted global temperature rise
1377,2794,climate sensitivity to CO2 doubling
1378,2796,Hansen's projection on CO2 doubling and global warming
1379,2797,"Global brightening caused by changes in cloud cover, aerosols"
1380,2798,Changes in cloud cover aerosols compensating for more sunlight hitting surface.
1381,2799,Satellite-confirmed measurements from ground stations show global brightening from 1983 to 2001.
1382,2800,Elementary radiative transfer calculations demonstrate that a natural surface global brightening of 1.9 W/m² over an 18-year period would cause a transient warming of 0.118°F.
1383,2803,Earth warms as expected with radiative forcings and ocean absorption.
1384,2805,"Arctic sea ice loss vs Antarctic sea ice gain, solar energy absorption"
1385,2807,nearly monotonic accelerating warming in 20th century
1386,2809,motions of massive oceans providing variability
1387,2813,Calculate climate sensitivity 2.3-4.1
1388,2815,Surface warming solar cycle
1389,2817,petition by 31000 scientists on CO2 and global warming
1390,2818,"""science graduates listed on OISM petition represent a tiny fraction of all science graduates"""
1391,2819,OISM's climate science experts list
1392,2821,Scientists moving from cause to details of global warming
1393,2822,Klaus Martin Schulte examined papers published 2004-2007
1394,2826,Volcanic activity warming effect
1395,2827,Volcanoes' impact on global warming
1396,2834,stomata CO2 vs ice core CO2
1397,2835,"Arctic summer sea ice shrinking, may disappear in a decade"
1398,2836,Rapid rebound in global sea ice levels since last year.
1399,2837,rate of increase since September
1400,2838,University of Illinois Arctic Climate Research Center reports polar region temperature data from satellite observations.
1401,2839,Ice mass loss globally from inland glaciers
1402,2840,Arctic sea ice falling
1403,2841,exception to Antarctic sea ice growth
1404,2843,Together these two unaltered sea level datasets
1405,2844,Claim sea level rise not rising
1406,2845,"Original query:
""the original global temperature schematic which appeared in the ipcc first assessment report and seemed to show the medieval warm period mwp hotter than present was based on the central england temperature record and ended in the 1950s""

Reduced query: ""IPCC's original global temp schematic showing MWP warmer than present, based on Central England record, ending in 1950s"""
1407,2849,By IPCC climate assessment
1408,2853,ozone layer blocks UV radiation
1409,2856,even six week climate forecasts can be wrong
1410,2857,Weather is chaotic due to air's low friction and viscosity.
1411,2862,Cru scientists uncooperative with FOI requests
1412,2867,Skeptics opposing scientific findings threatening their worldview
1413,2868,Galileo got outvoted by Texas Governor Rick Perry.
1414,2869,Claims IPCC doesn't accurately represent scientist views
1415,2870,Ironically those misrepresenting Hulme's paper
1416,2871,UN IPCC misled public on manmade global warming
1417,2876,scientific consensus on climate change
1418,2877,Benny Peiser's search of peer-reviewed literature on ISI Web of Science database (1993-2003)
1419,2880,renewable energy
1420,2881,renewable energy providing baseload power
1421,2882,Trenberth's views on climate change planning.
1422,2886,As it happens Kevin Trenberth
1423,2887,the planet is running a fever
1424,2888,Trenberth's lack of warming at least a decade
1425,2890,heat building up in subsurface ocean
1426,2891,Wu et al. 2010 ice sheet mass balance
1427,2894,Rapid loss of ice mass from Greenland and Antarctica
1428,2895,latest satellite gravimetry measurements
1429,2896,Gravity measurements of ice mass loss
1430,2897,Derive ice mass changes from Grace data
1431,2898,ice mass losses
1432,2901,Cru did not hide or tamper with temperature data.
1433,2902,Cru deleted raw data for global temperature set
1434,2903,new dataset replaces previous one
1435,2907,Maximum warming occurs over surface during winter.
1436,2910,authors jump into statistical analysis without proposing physical mechanism
1437,2912,Elevated winter air temperatures
1438,2914,Arctic Ocean's insulating ice not causing winter temperature increase
1439,2915,"pollution, substances in atmosphere/waterways"
1440,2916,If Senator Wong was serious...
1441,2918,Temperature errors in Great Lakes region
1442,2920,Global warming data cooked by US government-funded body shows temperature fraud.
1443,2921,NOAA's Great Lakes warming data
1444,2922,Soares looks at short term trends
1445,2924,co2-temperature correlation
1446,2927,CO2 and temperature
1447,2928,Warmer seasons or triennial phases followed by CO2-rich atmosphere
1448,2935,Scientists warn of global cooling
1449,2939,climate oscillates every 30 years
1450,2940,"Rather than 100 years of unprecedented global warming as predicted by IPCC, global temperatures leveling off"
1451,2942,CO2 concentration increase affects C13 isotope ratio decline
1452,2945,C12 increase not human caused
1453,2948,solar activity cooling trend since 1978
1454,2949,no continuous tsi measurement
1455,2951,most cited composites pmod acrim
1456,2953,reduced query: pmod alters nimbus7 erb record 1989-1991
1457,2959,"Even if warming were as big as IPCC imagines, not as dangerous as Mr. Brown suggests"
1458,2961,new peer disputes 97% consensus
1459,2963,CO2 emissions vs CO2 levels
1460,2966,"CO2 emissions decrease during 1979-1982, no change in CO2 concentration"
1461,2967,contribution of waste heat to global climate
1462,2970,Global warming caused by human industry
1463,2973,"Stratospheric water vapor changes, cause unclear."
1464,2977,"According to the study, cold air at high altitudes over the tropics grows colder"
1465,2978,lower temperatures causing global water vapor levels to drop despite rising carbon levels
1466,2979,Water vapor's role in trapping heat
1467,2981,Earth surprisingly tolerant of decreasing atmospheric water vapor levels
1468,2982,"warming rates from 1970-2001 vs. 1860-1880, 1910-1940"
1469,2983,"CO2 levels rising, accelerating global warming"
1470,2986,Global warming accelerating
1471,2989,"Preventing global warming is relatively cheap, but economists can't accurately estimate accelerating costs of climate damages if we continue with business as usual."
1472,2991,Bjorn Lomborg's claim that the cost of doing something will likely be higher than 6% of GDP.
1473,2992,Mauna Loa CO2 measurements
1474,2994,Mauna Loa's CO2 readings support Mann's goal of steady growth in atmospheric CO2 concentrations since 1959
1475,2997,CO2 mixing throughout atmosphere
1476,3000,influence of volcano
1477,3003,Venus' lack of greenhouse effect
1478,3004,Jupiter Saturn oscillations 60 year cycle
1479,3005,Warming from 1970 to 2000 caused by natural 60-year climatic cycle
1480,3007,Solar activity and water levels
1481,3008,Solar activity affects Earth's climate with a 10-year lag.
1482,3009,"Solar activity and global temperatures correlation ended in 1975, alternative causes for recent warming."
1483,3011,"A South African study found a 21-year cycle synchronized with the solar cycle (Alexander, 2007)"
1484,3017,some regions in East Antarctica where ice loss claims average summer temperature < 30°C
1485,3024,Enhanced greenhouse effect feedback
1486,3032,co2 levels 1 000-2 300 ppm promoting glaciation in Gondwana
1487,3034,"Reduced query: Rock weathering reduces CO2, reinforcing CO2's role in climate."
1488,3038,other factors influencing earth temperatures
1489,3039,"Hocker's model claims CO2 trend explained by temperature, but method removes it."
1490,3044,coral atolls drowning due to slow growth
1491,3046,Co2 increase caused by humans
1492,3047,"Humans emit CO2 at twice the rate of atmospheric increase, with natural sinks absorbing the other half."
1493,3048,Co2 increase is human caused
1494,3049,Atmospheric CO2 increase due to natural variation
1495,3051,"Once natural influences, especially El Niño and La Niña, are removed from the recent temperature record, there is no evidence of a significant change in human contribution to climate change."
1496,3052,No increase in global avg. temp for 16 yrs
1497,3056,observed data show CFCS causing Antarctic ozone hole and global warming
1498,3058,global surface temperature dropped
1499,3059,Models and CFCS contribute a fraction of warming
1500,3062,Sea level rise prediction by 2100
1501,3063,Global warming myth crashing down
1502,3064,No warming since 1995
1503,3066,Claim: 2 conventional jobs destroyed for every new job created in alternative energy industry
1504,3068,"Renewable energy jobs in US, Spain's experience suggests loss of at least 2.22 jobs on average."
1505,3069,Continued greenhouse gas emissions would cause further warming and climate change.
1506,3070,"Government's proposal puts manufacturing industry at risk, harming struggling families."
1507,3072,"climate sensitivity of CO2 doubling likely 1.7-2.6°C, median 2.3°C"
1508,3074,Fourth assessment report AR4
1509,3075,"Greenland's ice loss accelerating, contributing to sea level rise"
1510,3079,Arctic melt season temperatures this cold
1511,3082,Human influence on global climate is discernible.
1512,3084,Temperature increase in 20th century driven by ENSO events
1513,3090,Energy generated by satellites
1514,3091,Global warming coincides with satellite and microwave frequencies
1515,3093,Sending microwaves through water
1516,3099,IPCC's 4th assessment report 2007 graphs Hadley Center's global mean surface temperature anomaly dataset (1850-2005) with 4 trend lines.
1517,3102,melts from 1938 onwards
1518,3103,Disasters due to climate change
1519,3104,Satellite sensors show less warming in lower troposphere
1520,3105,Global warming theory: rapid warming in lower troposphere vs surface
1521,3110,Carbon emissions from chimneys in old times
1522,3111,Ljungqvist's millennial temperature reconstruction
1523,3112,Northern hemisphere surface air temperatures higher than MWP
1524,3114,Dr. Hansen's prediction: West Side Highway to be underwater due to Hudson River rise
1525,3119,CO2 non-condensing greenhouse gas forcing
1526,3121,cloud cover prediction
1527,3122,clouds reflect 75 watts per square meter
1528,3123,small change in cloud cover affects response to carbon dioxide
1529,3124,Great Barrier Reef
1530,3125,warming from 1970 to 2000 caused by natural 60 year climatic cycle
1531,3127,Skeptics hope postma's alternative thermal model leads to a new climatology following physical laws and proper modeling techniques.
1532,3130,Other causes for climate change
1533,3131,High temperature core
1534,3134,heatwaves five times more likely due to global warming
